order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
87,1282,30,Delhi,Evening,Weekday,Fast Food,Dinner,Mid-range,645,Yes,93,14,4,No,Stressed,Low,Friends,Yes
88,4424,23,Chandigarh,Night,Weekend,Biryani,Dinner,Premium,378,Yes,24,5,4,No,Happy,Medium,Friends,Yes
89,4667,33,Chandigarh,Afternoon,Weekday,Fast Food,Dinner,Premium,238,Yes,80,9,3,Yes,Lazy,High,Alone,Yes
90,1422,21,Mumbai,Afternoon,Weekday,Fast Food,Lunch,Mid-range,941,Yes,75,7,2,Yes,Stressed,High,Alone,Yes
91,2156,23,Chandigarh,Morning,Weekend,North Indian,Lunch,Mid-range,893,No,56,3,3,No,Lazy,High,Friends,No
92,4642,35,Delhi,Afternoon,Weekend,Biryani,Dinner,Premium,302,No,68,13,4,No,Happy,Medium,Partner,Yes
93,4306,41,Pune,Afternoon,Weekend,Chinese,Snacks,Mid-range,902,No,53,12,2,Yes,Lazy,Medium,Friends,Yes
94,1729,40,Mumbai,Night,Weekend,Chinese,Snacks,Premium,765,No,84,9,4,Yes,Lazy,Medium,Alone,No
95,4410,32,Mumbai,Evening,Weekday,Chinese,Breakfast,Budget,193,No,85,6,4,Yes,Lazy,Medium,Alone,Yes
96,1385,35,Bangalore,Afternoon,Weekend,South Indian,Snacks,Budget,254,Yes,23,9,2,Yes,Celebrating,Low,Alone,Yes
97,1600,25,Bangalore,Afternoon,Weekday,Chinese,Lunch,Premium,345,Yes,42,10,3,Yes,Stressed,High,Alone,Yes
98,3870,40,Hyderabad,Night,Weekday,South Indian,Snacks,Premium,673,Yes,20,11,1,Yes,Lazy,Low,Family,No
99,4486,19,Bangalore,Evening,Weekend,South Indian,Lunch,Mid-range,486,No,65,2,1,No,Celebrating,Medium,Family,No
100,2903,22,Pune,Afternoon,Weekday,South Indian,Breakfast,Premium,183,Yes,99,8,4,No,Happy,High,Family,No
101,3236,38,Mumbai,Evening,Weekend,South Indian,Snacks,Mid-range,375,No,63,11,4,Yes,Celebrating,High,Friends,No
102,3592,39,Chandigarh,Evening,Weekend,South Indian,Dinner,Budget,405,Yes,64,9,2,Yes,Stressed,High,Alone,No
103,1207,31,Pune,Afternoon,Weekday,Chinese,Lunch,Budget,320,Yes,74,3,4,Yes,Celebrating,Low,Alone,No
104,2953,23,Delhi,Night,Weekend,Fast Food,Lunch,Premium,552,No,94,1,5,Yes,Stressed,Low,Partner,Yes
105,1288,24,Mumbai,Night,Weekday,Chinese,Lunch,Premium,279,Yes,28,10,4,No,Happy,Low,Partner,Yes
106,3777,30,Delhi,Afternoon,Weekday,South Indian,Dinner,Budget,353,Yes,70,11,3,Yes,Celebrating,High,Partner,Yes
107,2296,19,Hyderabad,Night,Weekend,South Indian,Lunch,Premium,308,No,90,12,3,Yes,Celebrating,Low,Friends,Yes
108,4289,39,Bangalore,Evening,Weekend,Chinese,Snacks,Budget,477,Yes,72,10,2,No,Celebrating,Medium,Family,No
109,3052,37,Chandigarh,Evening,Weekday,Desserts,Breakfast,Mid-range,912,No,48,8,4,Yes,Stressed,Medium,Friends,No
110,1379,38,Hyderabad,Night,Weekend,Fast Food,Dinner,Premium,604,Yes,91,3,2,Yes,Happy,Medium,Alone,Yes
111,1068,41,Mumbai,Afternoon,Weekday,South Indian,Lunch,Mid-range,148,Yes,56,3,1,No,Happy,High,Friends,Yes
112,2511,37,Bangalore,Night,Weekday,Chinese,Snacks,Mid-range,520,Yes,42,7,4,No,Lazy,Low,Partner,No
113,2586,19,Pune,Afternoon,Weekend,North Indian,Dinner,Premium,657,No,95,11,1,Yes,Happy,High,Partner,No
114,4172,44,Delhi,Morning,Weekend,Biryani,Breakfast,Mid-range,264,Yes,44,6,4,No,Stressed,Low,Partner,No
115,3534,43,Chandigarh,Evening,Weekday,South Indian,Breakfast,Mid-range,240,Yes,65,6,3,No,Lazy,Medium,Alone,No
116,4291,38,Chandigarh,Afternoon,Weekday,Biryani,Lunch,Budget,521,No,52,5,5,No,Celebrating,Low,Alone,Yes
117,3654,24,Pune,Evening,Weekday,Chinese,Lunch,Mid-range,705,Yes,37,13,5,No,Lazy,Low,Family,Yes
118,3558,25,Pune,Evening,Weekday,Desserts,Lunch,Budget,824,No,50,2,3,No,Stressed,High,Family,Yes
119,2559,29,Hyderabad,Night,Weekday,Desserts,Breakfast,Premium,852,Yes,29,14,1,Yes,Stressed,High,Family,No
120,2934,35,Mumbai,Evening,Weekday,Biryani,Dinner,Mid-range,685,Yes,78,11,1,Yes,Stressed,High,Friends,No
121,4364,28,Mumbai,Evening,Weekend,South Indian,Lunch,Premium,764,Yes,37,2,1,Yes,Stressed,High,Family,No
122,1581,44,Hyderabad,Afternoon,Weekend,Biryani,Snacks,Mid-range,210,No,96,1,3,No,Happy,High,Family,No
123,1244,25,Bangalore,Night,Weekday,Fast Food,Breakfast,Mid-range,457,Yes,80,9,3,No,Happy,Low,Partner,No
124,2854,21,Hyderabad,Night,Weekend,Fast Food,Breakfast,Budget,361,Yes,32,10,5,No,Stressed,Medium,Friends,Yes
125,1421,26,Hyderabad,Morning,Weekend,South Indian,Snacks,Mid-range,280,No,50,11,5,No,Lazy,High,Alone,No
126,2408,29,Bangalore,Afternoon,Weekend,Fast Food,Dinner,Mid-range,201,Yes,79,1,4,Yes,Lazy,Medium,Friends,No
127,2240,37,Pune,Evening,Weekday,Fast Food,Snacks,Premium,469,Yes,74,5,5,Yes,Celebrating,Low,Alone,No
128,1517,21,Chandigarh,Evening,Weekday,Chinese,Breakfast,Budget,157,No,34,1,5,Yes,Lazy,Medium,Family,No
129,1440,26,Bangalore,Afternoon,Weekday,South Indian,Lunch,Mid-range,665,No,97,13,2,No,Celebrating,Low,Friends,No
130,3367,44,Hyderabad,Night,Weekend,Chinese,Lunch,Budget,453,Yes,31,3,3,Yes,Happy,Medium,Partner,Yes
131,2806,24,Chandigarh,Morning,Weekday,North Indian,Dinner,Budget,452,Yes,72,3,5,No,Happy,Medium,Partner,No
132,2768,24,Mumbai,Night,Weekday,South Indian,Snacks,Mid-range,435,Yes,39,6,3,Yes,Celebrating,High,Friends,Yes
133,3744,43,Hyderabad,Evening,Weekday,Biryani,Dinner,Budget,504,Yes,26,5,4,Yes,Celebrating,Low,Friends,Yes
134,2002,28,Delhi,Afternoon,Weekend,Biryani,Breakfast,Mid-range,749,Yes,21,6,4,Yes,Happy,Medium,Partner,No
135,3039,39,Hyderabad,Evening,Weekday,Desserts,Snacks,Budget,795,No,29,12,1,Yes,Stressed,High,Family,Yes
136,2765,26,Pune,Morning,Weekday,Fast Food,Snacks,Premium,929,No,22,12,5,No,Lazy,High,Friends,Yes
137,1370,31,Chandigarh,Night,Weekend,North Indian,Breakfast,Mid-range,355,No,39,12,4,Yes,Celebrating,Medium,Partner,Yes
138,2435,23,Pune,Morning,Weekend,South Indian,Breakfast,Mid-range,369,Yes,43,1,2,No,Lazy,Medium,Alone,Yes
139,1769,44,Hyderabad,Evening,Weekend,Biryani,Snacks,Premium,747,No,87,10,1,No,Celebrating,High,Family,No
140,1788,40,Bangalore,Evening,Weekday,Fast Food,Dinner,Budget,978,Yes,71,14,1,Yes,Happy,Medium,Friends,Yes
141,2829,19,Mumbai,Afternoon,Weekend,Fast Food,Snacks,Premium,937,Yes,46,8,4,Yes,Stressed,High,Family,No
142,4345,34,Chandigarh,Evening,Weekend,Chinese,Snacks,Budget,604,Yes,60,11,3,No,Happy,Low,Partner,Yes
143,3764,41,Chandigarh,Night,Weekday,South Indian,Breakfast,Budget,353,No,81,3,4,No,Stressed,Medium,Family,Yes
144,1703,43,Hyderabad,Afternoon,Weekday,North Indian,Snacks,Mid-range,318,No,82,7,3,Yes,Stressed,Medium,Alone,Yes
145,1253,27,Pune,Morning,Weekday,Chinese,Snacks,Mid-range,837,Yes,23,4,2,Yes,Celebrating,Medium,Partner,No
146,2580,19,Bangalore,Morning,Weekday,Biryani,Snacks,Mid-range,422,Yes,38,14,4,No,Stressed,Medium,Family,Yes
147,4107,43,Chandigarh,Evening,Weekend,North Indian,Dinner,Premium,137,No,95,11,1,Yes,Stressed,Medium,Alone,Yes
148,1905,43,Hyderabad,Night,Weekend,North Indian,Snacks,Premium,589,No,25,7,3,Yes,Happy,High,Friends,No
149,3338,27,Mumbai,Afternoon,Weekend,Chinese,Snacks,Premium,720,Yes,61,4,2,No,Happy,Low,Partner,No
150,3766,26,Delhi,Evening,Weekend,North Indian,Snacks,Premium,691,No,53,9,2,No,Lazy,Medium,Alone,No
151,1546,43,Chandigarh,Morning,Weekend,Chinese,Lunch,Mid-range,430,No,89,8,1,No,Lazy,High,Partner,No
152,1535,40,Chandigarh,Evening,Weekday,Fast Food,Dinner,Budget,612,Yes,69,11,1,No,Happy,Medium,Family,No
153,2113,21,Bangalore,Evening,Weekday,Chinese,Breakfast,Premium,814,Yes,83,12,1,Yes,Stressed,Low,Friends,No
154,1168,33,Mumbai,Night,Weekend,North Indian,Dinner,Budget,972,Yes,87,2,2,No,Celebrating,Low,Partner,No
155,4450,41,Mumbai,Morning,Weekend,South Indian,Dinner,Mid-range,774,Yes,66,5,2,Yes,Stressed,High,Family,Yes
156,3248,38,Bangalore,Afternoon,Weekend,Fast Food,Dinner,Budget,903,No,28,4,1,Yes,Lazy,Low,Alone,Yes
157,2926,38,Delhi,Morning,Weekend,Biryani,Snacks,Premium,477,Yes,48,9,2,Yes,Lazy,Low,Partner,Yes
158,2603,34,Mumbai,Night,Weekday,Biryani,Breakfast,Premium,669,No,98,9,2,No,Lazy,High,Partner,Yes
159,3220,28,Chandigarh,Morning,Weekday,South Indian,Breakfast,Premium,782,No,89,3,3,No,Lazy,Medium,Partner,Yes
160,4852,44,Pune,Evening,Weekend,South Indian,Lunch,Budget,992,No,74,13,5,Yes,Celebrating,Low,Partner,Yes
161,4748,43,Mumbai,Evening,Weekday,South Indian,Dinner,Mid-range,201,Yes,93,8,2,No,Lazy,High,Alone,Yes
162,1775,28,Hyderabad,Night,Weekend,South Indian,Dinner,Budget,109,No,51,11,1,No,Lazy,Medium,Alone,No
163,3282,41,Bangalore,Afternoon,Weekend,Biryani,Lunch,Premium,751,No,91,12,2,No,Happy,High,Friends,No
164,1314,43,Delhi,Evening,Weekday,South Indian,Breakfast,Mid-range,727,Yes,28,1,2,No,Lazy,High,Alone,No
165,4311,25,Delhi,Evening,Weekend,South Indian,Breakfast,Budget,345,Yes,27,2,3,No,Stressed,Medium,Alone,No
166,1353,40,Pune,Evening,Weekend,Desserts,Lunch,Mid-range,547,No,27,3,3,Yes,Lazy,Medium,Family,No
167,4324,24,Pune,Afternoon,Weekend,North Indian,Breakfast,Budget,183,No,48,5,2,No,Celebrating,Medium,Friends,Yes
168,4253,28,Delhi,Night,Weekend,Biryani,Breakfast,Premium,943,Yes,88,2,1,No,Celebrating,Low,Partner,Yes
169,4198,37,Mumbai,Evening,Weekend,Desserts,Snacks,Premium,981,Yes,24,9,4,Yes,Lazy,High,Partner,Yes
170,4307,20,Pune,Afternoon,Weekend,South Indian,Lunch,Premium,424,No,87,5,4,No,Happy,High,Family,No
171,2160,40,Bangalore,Morning,Weekday,Chinese,Snacks,Budget,717,Yes,56,2,2,No,Stressed,High,Alone,Yes
172,4454,24,Bangalore,Night,Weekend,South Indian,Breakfast,Budget,866,Yes,99,3,4,No,Happy,Low,Alone,Yes
173,3308,27,Delhi,Morning,Weekday,North Indian,Lunch,Mid-range,831,Yes,45,3,3,Yes,Happy,High,Family,Yes
174,1312,34,Pune,Evening,Weekday,Biryani,Breakfast,Premium,181,Yes,27,12,2,No,Stressed,High,Partner,Yes
175,3029,18,Hyderabad,Night,Weekday,Fast Food,Breakfast,Budget,761,No,67,4,1,No,Celebrating,High,Friends,No
176,2499,28,Pune,Morning,Weekend,Desserts,Dinner,Budget,631,Yes,80,11,1,Yes,Stressed,High,Alone,Yes
177,4631,36,Bangalore,Night,Weekday,North Indian,Snacks,Mid-range,400,Yes,96,6,4,No,Stressed,Medium,Friends,Yes
178,2127,31,Hyderabad,Morning,Weekday,Chinese,Breakfast,Premium,151,No,20,7,5,No,Happy,High,Partner,No
179,4074,19,Mumbai,Night,Weekend,South Indian,Lunch,Budget,986,Yes,66,8,1,No,Lazy,Low,Friends,Yes
180,4035,44,Pune,Afternoon,Weekend,Desserts,Breakfast,Mid-range,416,No,59,6,1,Yes,Lazy,High,Partner,No
181,4574,24,Delhi,Night,Weekday,Desserts,Dinner,Budget,895,No,88,3,5,No,Lazy,High,Alone,Yes
182,3734,36,Delhi,Night,Weekday,Chinese,Dinner,Budget,119,Yes,27,9,1,Yes,Lazy,High,Friends,Yes
183,2662,37,Mumbai,Night,Weekend,North Indian,Snacks,Premium,635,No,77,8,2,Yes,Celebrating,Low,Alone,No
184,3659,26,Chandigarh,Night,Weekday,Biryani,Snacks,Budget,509,No,97,1,1,No,Stressed,High,Partner,Yes
185,3601,23,Pune,Evening,Weekday,Biryani,Snacks,Premium,233,Yes,89,4,2,Yes,Celebrating,Low,Family,Yes
186,3326,31,Mumbai,Morning,Weekend,Biryani,Snacks,Budget,607,Yes,41,8,2,Yes,Celebrating,High,Alone,Yes
187,3846,26,Mumbai,Afternoon,Weekend,Fast Food,Breakfast,Mid-range,722,No,85,7,2,Yes,Stressed,Medium,Friends,No
188,3470,30,Pune,Night,Weekend,South Indian,Snacks,Budget,476,No,77,3,3,Yes,Celebrating,High,Alone,No
189,1934,18,Pune,Night,Weekday,Chinese,Dinner,Budget,110,No,60,8,1,Yes,Stressed,Medium,Alone,Yes
190,3205,41,Hyderabad,Night,Weekday,Biryani,Snacks,Mid-range,677,Yes,22,5,4,No,Stressed,High,Friends,No
191,1508,19,Hyderabad,Evening,Weekend,Desserts,Lunch,Budget,563,Yes,98,12,3,No,Lazy,High,Partner,Yes
192,1084,40,Chandigarh,Afternoon,Weekday,South Indian,Breakfast,Budget,524,Yes,29,4,1,Yes,Stressed,Medium,Family,No
193,4855,43,Chandigarh,Afternoon,Weekend,Chinese,Snacks,Mid-range,719,Yes,42,11,3,Yes,Happy,Medium,Alone,No
194,1478,27,Chandigarh,Night,Weekday,South Indian,Breakfast,Budget,800,Yes,70,12,2,Yes,Happy,High,Family,No
195,4731,21,Delhi,Morning,Weekday,Desserts,Dinner,Budget,226,No,63,4,4,No,Stressed,High,Friends,Yes
196,1941,38,Pune,Afternoon,Weekday,South Indian,Snacks,Mid-range,492,No,43,2,5,Yes,Celebrating,Low,Alone,No
197,1194,24,Delhi,Night,Weekend,South Indian,Lunch,Mid-range,516,No,45,3,5,No,Celebrating,Medium,Family,Yes
198,1732,28,Pune,Morning,Weekend,Desserts,Dinner,Mid-range,136,Yes,49,8,5,Yes,Lazy,Low,Friends,Yes
199,2912,44,Chandigarh,Evening,Weekday,North Indian,Breakfast,Budget,918,No,74,5,3,Yes,Happy,Low,Family,Yes
200,2687,43,Bangalore,Morning,Weekend,Chinese,Breakfast,Mid-range,954,Yes,26,8,4,No,Celebrating,Low,Family,No
201,4039,37,Delhi,Evening,Weekend,Desserts,Snacks,Mid-range,365,No,70,8,1,Yes,Lazy,Low,Friends,No
202,3922,36,Delhi,Morning,Weekday,North Indian,Snacks,Budget,950,Yes,23,14,3,No,Stressed,High,Family,No
203,3495,31,Delhi,Evening,Weekday,Chinese,Lunch,Premium,509,No,62,12,1,Yes,Lazy,Low,Alone,Yes
204,4912,24,Pune,Night,Weekend,Chinese,Snacks,Mid-range,455,Yes,37,3,4,No,Lazy,Low,Alone,No
205,4604,22,Bangalore,Night,Weekend,Biryani,Breakfast,Premium,655,Yes,84,5,1,Yes,Lazy,Medium,Family,No
206,2682,38,Bangalore,Afternoon,Weekday,Chinese,Breakfast,Mid-range,516,Yes,44,1,4,No,Stressed,High,Family,Yes
207,3922,24,Hyderabad,Afternoon,Weekend,South Indian,Dinner,Mid-range,766,No,92,5,1,No,Celebrating,Low,Alone,No
208,3232,18,Bangalore,Night,Weekend,Fast Food,Snacks,Premium,743,No,49,10,1,Yes,Celebrating,Medium,Friends,Yes
209,3279,35,Delhi,Night,Weekday,Biryani,Snacks,Mid-range,923,No,40,10,4,Yes,Celebrating,Low,Friends,Yes
